s,beta,k,vocab,prob,vid
3,0.034202026759731156,0,phone,0.02868599390840656,1
3,0.034202026759731156,0,mount,0.010978498678797598,2
3,0.034202026759731156,0,use,0.00962228878404431,3
3,0.034202026759731156,0,one,0.009059333733392001,4
3,0.034202026759731156,0,would,0.008573145280555918,5
3,0.034202026759731156,0,like,0.007703123838638713,6
3,0.034202026759731156,0,car,0.006961046726415216,7
3,0.034202026759731156,0,iphone,0.006756335798905286,8
3,0.034202026759731156,0,well,0.005476892501968223,9
3,0.034202026759731156,0,get,0.005093059512887103,10
3,0.034202026759731156,0,dock,0.004734815389744725,11
3,0.034202026759731156,0,way,0.00442774899847983,12
3,0.034202026759731156,0,case,0.004376571266602347,13
3,0.034202026759731156,0,work,0.004325393534724865,14
3,0.034202026759731156,0,also,0.004248626936908641,15
3,0.034202026759731156,0,product,0.0042230380709699,16
3,0.034202026759731156,0,hold,0.004146271473153676,17
3,0.034202026759731156,0,really,0.004095093741276193,18
3,0.034202026759731156,0,grip,0.00401832714345997,19
3,0.034202026759731156,0,fit,0.003967149411582487,20
3,0.034202026759731156,0,back,0.003864793947827522,21
3,0.034202026759731156,0,camera,0.0038392050818887805,22
3,0.034202026759731156,0,put,0.0038392050818887805,23
3,0.034202026759731156,0,side,0.0038136162159500392,24
3,0.034202026759731156,0,holder,0.0038136162159500392,25
3,0.034202026759731156,0,device,0.003711260752195074,26
3,0.034202026759731156,0,place,0.003685671886256333,27
3,0.034202026759731156,0,works,0.003532138690623885,28
3,0.034202026759731156,0,app,0.003506549824685144,29
3,0.034202026759731156,0,easy,0.003327427763113955,30
3,0.034202026759731156,0,good,0.0030971279696652833,31
3,0.034202026759731156,0,even,0.0030459502377878007,32
3,0.034202026759731156,0,button,0.0030459502377878007,33
3,0.034202026759731156,0,used,0.0030203613718490594,34
3,0.034202026759731156,0,two,0.0030203613718490594,35
3,0.034202026759731156,0,using,0.002969183639971577,36
3,0.034202026759731156,0,plastic,0.002969183639971577,37
3,0.034202026759731156,0,could,0.0029435947740328356,38
3,0.034202026759731156,0,first,0.002892417042155353,39
3,0.034202026759731156,0,little,0.0028668281762166117,40
3,0.034202026759731156,0,want,0.0028412393102778704,41
3,0.034202026759731156,0,great,0.002815650444339129,42
3,0.034202026759731156,0,suction,0.002815650444339129,43
3,0.034202026759731156,0,without,0.0027644727124616466,44
3,0.034202026759731156,0,much,0.0026877061146454227,45
3,0.034202026759731156,0,nice,0.0025853506508904576,46
3,0.034202026759731156,0,enough,0.002534172919012975,47
3,0.034202026759731156,0,think,0.0025085840530742337,48
3,0.034202026759731156,0,remove,0.0025085840530742337,49
3,0.034202026759731156,0,see,0.0024829951871354924,50
3,0.034202026759731156,0,windshield,0.0024829951871354924,51
3,0.034202026759731156,0,need,0.00243181745525801,52
3,0.034202026759731156,0,cup,0.00243181745525801,53
3,0.034202026759731156,0,right,0.002355050857441786,54
3,0.034202026759731156,0,screen,0.0023294619915030447,55
3,0.034202026759731156,0,dash,0.0023294619915030447,56
3,0.034202026759731156,0,since,0.0023038731255643034,57
3,0.034202026759731156,0,easily,0.0023038731255643034,58
3,0.034202026759731156,0,take,0.0023038731255643034,59
3,0.034202026759731156,0,time,0.002278284259625562,60
3,0.034202026759731156,0,bit,0.0022271065277480796,61
3,0.034202026759731156,0,make,0.0022271065277480796,62
3,0.034202026759731156,0,problem,0.0022015176618093383,63
3,0.034202026759731156,0,small,0.0022015176618093383,64
3,0.034202026759731156,0,gps,0.0021503399299318557,65
3,0.034202026759731156,0,able,0.0021503399299318557,66
3,0.034202026759731156,0,bottom,0.0021247510639931144,67
3,0.034202026759731156,0,thing,0.002099162198054373,68
3,0.034202026759731156,0,made,0.002099162198054373,69
3,0.034202026759731156,0,better,0.002099162198054373,70
3,0.034202026759731156,0,clip,0.002099162198054373,71
3,0.034202026759731156,0,fits,0.002073573332115632,72
3,0.034202026759731156,0,still,0.0020479844661768906,73
3,0.034202026759731156,0,around,0.0019712178683606667,74
3,0.034202026759731156,0,seems,0.0019712178683606667,75
3,0.034202026759731156,0,keep,0.0019712178683606667,76
3,0.034202026759731156,0,top,0.0019456290024219254,77
3,0.034202026759731156,0,far,0.0019200401364831842,78
3,0.034202026759731156,0,phones,0.0018944512705444429,79
3,0.034202026759731156,0,something,0.0018688624046057016,80
3,0.034202026759731156,0,liveaction,0.0018432735386669603,81
3,0.034202026759731156,0,pretty,0.001817684672728219,82
3,0.034202026759731156,0,part,0.001817684672728219,83
3,0.034202026759731156,0,holding,0.0017665069408507364,84
3,0.034202026759731156,0,arm,0.0017665069408507364,85
3,0.034202026759731156,0,makes,0.0017153292089732539,86
3,0.034202026759731156,0,buttons,0.0017153292089732539,87
3,0.034202026759731156,0,holds,0.0016129737452182887,88
3,0.034202026759731156,0,position,0.0016129737452182887,89
3,0.034202026759731156,0,unit,0.0016129737452182887,90
3,0.034202026759731156,0,galaxy,0.0015617960133408062,91
3,0.034202026759731156,0,however,0.0015362071474020649,92
3,0.034202026759731156,0,big,0.0015362071474020649,93
3,0.034202026759731156,0,dashboard,0.0015362071474020649,94
3,0.034202026759731156,0,tried,0.0015106182814633236,95
3,0.034202026759731156,0,base,0.0014850294155245823,96
3,0.034202026759731156,0,may,0.0014850294155245823,97
3,0.034202026759731156,0,design,0.0014850294155245823,98
3,0.034202026759731156,0,hand,0.0014850294155245823,99
3,0.034202026759731156,0,samsung,0.0014850294155245823,100
3,0.034202026759731156,1,phone,0.0361525995899899,1
3,0.034202026759731156,1,screen,0.009393807406706678,2
3,0.034202026759731156,1,one,0.007444808811864558,3
3,0.034202026759731156,1,use,0.007117313146337808,4
3,0.034202026759731156,1,like,0.006845731374925381,5
3,0.034202026759731156,1,get,0.006446346416965931,6
3,0.034202026759731156,1,android,0.006326530929578095,7
3,0.034202026759731156,1,apps,0.005415933225430547,8
3,0.034202026759731156,1,battery,0.005328068534679467,9
3,0.034202026759731156,1,good,0.005168314551495687,10
3,0.034202026759731156,1,phones,0.005152339153177309,11
3,0.034202026759731156,1,camera,0.004872769682605693,12
3,0.034202026759731156,1,app,0.004673077203625968,13
3,0.034202026759731156,1,also,0.004633138707830023,14
3,0.034202026759731156,1,even,0.004593200212034078,15
3,0.034202026759731156,1,much,0.004585212512874889,16
3,0.034202026759731156,1,would,0.004385520033895163,17
3,0.034202026759731156,1,iphone,0.004345581538099218,18
3,0.034202026759731156,1,great,0.004281679944825706,19
3,0.034202026759731156,1,really,0.004233753749870572,20
3,0.034202026759731156,1,better,0.004058024368368413,21
3,0.034202026759731156,1,samsung,0.0037704671986376085,22
3,0.034202026759731156,1,htc,0.0037465041011600416,23
3,0.034202026759731156,1,time,0.003658639410408962,24
3,0.034202026759731156,1,still,0.003562787020498694,25
3,0.034202026759731156,1,data,0.0034749223297476147,26
3,0.034202026759731156,1,card,0.0033231560457230233,27
3,0.034202026759731156,1,using,0.003275229850767889,28
3,0.034202026759731156,1,galaxy,0.003227303655812755,29
3,0.034202026759731156,1,nokia,0.0032033405583351882,30
3,0.034202026759731156,1,device,0.0029956603801962736,31
3,0.034202026759731156,1,google,0.0029876726810370846,32
3,0.034202026759731156,1,new,0.0029477341852411393,33
3,0.034202026759731156,1,well,0.0029397464860819503,34
3,0.034202026759731156,1,many,0.0029237710877635724,35
3,0.034202026759731156,1,work,0.002875844892808438,36
3,0.034202026759731156,1,want,0.002835906397012493,37
3,0.034202026759731156,1,used,0.0028199309986941153,38
3,0.034202026759731156,1,wifi,0.00277999250289817,39
3,0.034202026759731156,1,need,0.0027240786087838467,40
3,0.034202026759731156,1,make,0.0026202385197143896,41
3,0.034202026759731156,1,first,0.0025643246256000663,42
3,0.034202026759731156,1,life,0.0025563369264408773,43
3,0.034202026759731156,1,droid,0.0025084107314857435,44
3,0.034202026759731156,1,back,0.002476459934848987,45
3,0.034202026759731156,1,could,0.002460484536530609,46
3,0.034202026759731156,1,update,0.002460484536530609,47
3,0.034202026759731156,1,fast,0.0023326813499835847,48
3,0.034202026759731156,1,day,0.002268779756710073,49
3,0.034202026759731156,1,quality,0.0022607920575508835,50
3,0.034202026759731156,1,best,0.0021889027651181827,51
3,0.034202026759731156,1,windows,0.0021409765701630484,52
3,0.034202026759731156,1,home,0.0021250011718446705,53
3,0.034202026759731156,1,works,0.002101038074367103,54
3,0.034202026759731156,1,lot,0.002077074976889536,55
3,0.034202026759731156,1,verizon,0.002077074976889536,56
3,0.034202026759731156,1,video,0.0020690872777303472,57
3,0.034202026759731156,1,see,0.0020371364810935913,58
3,0.034202026759731156,1,big,0.0020211610827752134,59
3,0.034202026759731156,1,call,0.0020131733836160244,60
3,0.034202026759731156,1,without,0.0019971979852976465,61
3,0.034202026759731156,1,take,0.0019892102861384575,62
3,0.034202026759731156,1,mobile,0.001981222586979268,63
3,0.034202026759731156,1,text,0.001981222586979268,64
3,0.034202026759731156,1,find,0.001973234887820079,65
3,0.034202026759731156,1,since,0.001973234887820079,66
3,0.034202026759731156,1,love,0.0019332963920241342,67
3,0.034202026759731156,1,got,0.001917320993705756,68
3,0.034202026759731156,1,keyboard,0.001909333294546567,69
3,0.034202026759731156,1,people,0.001901345595387378,70
3,0.034202026759731156,1,things,0.001877382497909811,71
3,0.034202026759731156,1,say,0.001869394798750622,72
3,0.034202026759731156,1,motorola,0.0018294563029546769,73
3,0.034202026759731156,1,calls,0.001821468603795488,74
3,0.034202026759731156,1,pretty,0.0018054932054771097,75
3,0.034202026759731156,1,music,0.0017975055063179208,76
3,0.034202026759731156,1,plan,0.0017975055063179208,77
3,0.034202026759731156,1,free,0.0017895178071587318,78
3,0.034202026759731156,1,memory,0.0017895178071587318,79
3,0.034202026759731156,1,razr,0.0017735424088403538,80
3,0.034202026759731156,1,easy,0.0017575670105219757,81
3,0.034202026759731156,1,way,0.0017176285147260306,82
3,0.034202026759731156,1,size,0.0017096408155668416,83
3,0.034202026759731156,1,tmobile,0.0017016531164076526,84
3,0.034202026759731156,1,far,0.0016856777180892745,85
3,0.034202026759731156,1,problem,0.0016856777180892745,86
3,0.034202026759731156,1,network,0.0016776900189300855,87
3,0.034202026759731156,1,available,0.0016537269214525183,88
3,0.034202026759731156,1,button,0.0016457392222933294,89
3,0.034202026759731156,1,pictures,0.0016297638239749514,90
3,0.034202026759731156,1,may,0.0016217761248157624,91
3,0.034202026759731156,1,amazon,0.0016217761248157624,92
3,0.034202026759731156,1,nexus,0.0016217761248157624,93
3,0.034202026759731156,1,thing,0.0016137884256565733,94
3,0.034202026759731156,1,note,0.0015978130273381953,95
3,0.034202026759731156,1,think,0.0015898253281790063,96
3,0.034202026759731156,1,version,0.0015658622307014392,97
3,0.034202026759731156,1,however,0.0015578745315422502,98
3,0.034202026759731156,1,little,0.0015578745315422502,99
3,0.034202026759731156,1,though,0.0015179360357463051,100
3,0.034202026759731156,2,battery,0.023452360069804966,1
3,0.034202026759731156,2,charge,0.021010619504729332,2
3,0.034202026759731156,2,power,0.016502790769205085,3
3,0.034202026759731156,2,usb,0.01505384581850086,4
3,0.034202026759731156,2,charging,0.010841172535897841,5
3,0.034202026759731156,2,mah,0.008426264284724136,6
3,0.034202026759731156,2,device,0.007809121064979744,7
3,0.034202026759731156,2,use,0.007433468670352723,8
3,0.034202026759731156,2,devices,0.007406636356450794,9
3,0.034202026759731156,2,pack,0.007406636356450794,10
3,0.034202026759731156,2,one,0.007165145531333423,11
3,0.034202026759731156,2,charger,0.007030983961823773,12
3,0.034202026759731156,2,headphones,0.006762660822804473,13
3,0.034202026759731156,2,charged,0.006038188347452362,14
3,0.034202026759731156,2,cable,0.006011356033550431,15
3,0.034202026759731156,2,sound,0.0057698652084330615,16
3,0.034202026759731156,2,iphone,0.005582039011119551,17
3,0.034202026759731156,2,also,0.0055552066972176205,18
3,0.034202026759731156,2,ear,0.005528374383315691,19
3,0.034202026759731156,2,unit,0.00507222504698288,20
3,0.034202026759731156,2,would,0.004830734221865509,21
3,0.034202026759731156,2,two,0.004777069594061649,22
3,0.034202026759731156,2,hours,0.004669740338453929,23
3,0.034202026759731156,2,led,0.004669740338453929,24
3,0.034202026759731156,2,cord,0.004562411082846209,25
3,0.034202026759731156,2,capacity,0.0045087464550423485,26
3,0.034202026759731156,2,good,0.004428249513336559,27
3,0.034202026759731156,2,like,0.004267255629924978,28
3,0.034202026759731156,2,ipad,0.004267255629924978,29
3,0.034202026759731156,2,well,0.004267255629924978,30
3,0.034202026759731156,2,port,0.004159926374317258,31
3,0.034202026759731156,2,quality,0.003945267863101817,32
3,0.034202026759731156,2,used,0.0037842739796902372,33
3,0.034202026759731156,2,light,0.003757441665788307,34
3,0.034202026759731156,2,much,0.003703777037984447,35
3,0.034202026759731156,2,using,0.003676944724082517,36
3,0.034202026759731156,2,time,0.003676944724082517,37
3,0.034202026759731156,2,small,0.003596447782376727,38
3,0.034202026759731156,2,fully,0.003515950840670937,39
3,0.034202026759731156,2,full,0.003515950840670937,40
3,0.034202026759731156,2,adapter,0.0034891185267690067,41
3,0.034202026759731156,2,comes,0.003408621585063216,42
3,0.034202026759731156,2,music,0.003301292329455496,43
3,0.034202026759731156,2,little,0.0032744600155535657,44
3,0.034202026759731156,2,external,0.0032744600155535657,45
3,0.034202026759731156,2,nice,0.0031939630738477757,46
3,0.034202026759731156,2,product,0.0031402984460439155,47
3,0.034202026759731156,2,get,0.0031134661321419854,48
3,0.034202026759731156,2,lights,0.0031134661321419854,49
3,0.034202026759731156,2,phone,0.0030329691904361954,50
3,0.034202026759731156,2,even,0.0030329691904361954,51
3,0.034202026759731156,2,micro,0.0030061368765342653,52
3,0.034202026759731156,2,button,0.002979304562632335,53
3,0.034202026759731156,2,kindle,0.002952472248730405,54
3,0.034202026759731156,2,headset,0.002898807620926545,55
3,0.034202026759731156,2,need,0.002818310679220755,56
3,0.034202026759731156,2,enough,0.002818310679220755,57
3,0.034202026759731156,2,plug,0.0027646460514168946,58
3,0.034202026759731156,2,fit,0.002737813737514965,59
3,0.034202026759731156,2,ipod,0.0026573167958091745,60
3,0.034202026759731156,2,included,0.0026304844819072444,61
3,0.034202026759731156,2,really,0.0025768198541033845,62
3,0.034202026759731156,2,wall,0.0025231552262995243,63
3,0.034202026759731156,2,long,0.002469490598495664,64
3,0.034202026759731156,2,ears,0.002415825970691804,65
3,0.034202026759731156,2,blue,0.002388993656789874,66
3,0.034202026759731156,2,incredicharge,0.002335329028986014,67
3,0.034202026759731156,2,output,0.0023084967150840837,68
3,0.034202026759731156,2,around,0.002281664401182154,69
3,0.034202026759731156,2,samsung,0.002281664401182154,70
3,0.034202026759731156,2,charges,0.002281664401182154,71
3,0.034202026759731156,2,recharge,0.002254832087280224,72
3,0.034202026759731156,2,review,0.0022279997733782937,73
3,0.034202026759731156,2,size,0.0022279997733782937,74
3,0.034202026759731156,2,come,0.0021743351455744335,75
3,0.034202026759731156,2,portable,0.0021743351455744335,76
3,0.034202026759731156,2,could,0.0019596766343589933,77
3,0.034202026759731156,2,juice,0.0019596766343589933,78
3,0.034202026759731156,2,great,0.0019328443204570632,79
3,0.034202026759731156,2,jabra,0.0019328443204570632,80
3,0.034202026759731156,2,adapters,0.0019328443204570632,81
3,0.034202026759731156,2,think,0.001906012006555133,82
3,0.034202026759731156,2,work,0.001906012006555133,83
3,0.034202026759731156,2,different,0.001906012006555133,84
3,0.034202026759731156,2,ports,0.001906012006555133,85
3,0.034202026759731156,2,left,0.001879179692653203,86
3,0.034202026759731156,2,galaxy,0.001879179692653203,87
3,0.034202026759731156,2,cell,0.001825515064849343,88
3,0.034202026759731156,2,flashlight,0.001825515064849343,89
3,0.034202026759731156,2,lot,0.0017986827509474128,90
3,0.034202026759731156,2,phones,0.0017986827509474128,91
3,0.034202026759731156,2,handy,0.0017718504370454829,92
3,0.034202026759731156,2,solar,0.0017718504370454829,93
3,0.034202026759731156,2,still,0.0017450181231435527,94
3,0.034202026759731156,2,powergen,0.0017450181231435527,95
3,0.034202026759731156,2,computer,0.0017181858092416226,96
3,0.034202026759731156,2,tried,0.0017181858092416226,97
3,0.034202026759731156,2,tablet,0.0017181858092416226,98
3,0.034202026759731156,2,volume,0.0016645211814377626,99
3,0.034202026759731156,2,find,0.0016376888675358324,100
3,0.034202026759731156,3,phone,0.014665269361603733,1
3,0.034202026759731156,3,one,0.01016071986179113,2
3,0.034202026759731156,3,battery,0.008156492991830454,3
3,0.034202026759731156,3,use,0.00783899170550005,4
3,0.034202026759731156,3,would,0.007442115097587046,5
3,0.034202026759731156,3,like,0.007243676793630543,6
3,0.034202026759731156,3,stylus,0.00692617550730014,7
3,0.034202026759731156,3,get,0.006866644016113189,8
3,0.034202026759731156,3,cable,0.0055966388707915735,9
3,0.034202026759731156,3,good,0.00527913758446117,10
3,0.034202026759731156,3,time,0.004842573315756865,11
3,0.034202026759731156,3,charger,0.004822729485361215,12
3,0.034202026759731156,3,using,0.004544915859822112,13
3,0.034202026759731156,3,new,0.004485384368635161,14
3,0.034202026759731156,3,great,0.004465540538239511,15
3,0.034202026759731156,3,iphone,0.0044258528774482105,16
3,0.034202026759731156,3,even,0.004346477555865609,17
3,0.034202026759731156,3,product,0.004346477555865609,18
3,0.034202026759731156,3,work,0.004088507760722156,19
3,0.034202026759731156,3,still,0.003989288608743906,20
3,0.034202026759731156,3,used,0.003969444778348255,21
3,0.034202026759731156,3,much,0.003909913287161304,22
3,0.034202026759731156,3,well,0.003790850304787403,23
3,0.034202026759731156,3,also,0.0036717873224135014,24
3,0.034202026759731156,3,got,0.0035527243400396,25
3,0.034202026759731156,3,screen,0.003453505188061349,26
3,0.034202026759731156,3,could,0.003235223053709196,27
3,0.034202026759731156,3,tip,0.003235223053709196,28
3,0.034202026759731156,3,day,0.003136003901730945,29
3,0.034202026759731156,3,car,0.003136003901730945,30
3,0.034202026759731156,3,better,0.003116160071335295,31
3,0.034202026759731156,3,charge,0.003036784749752694,32
3,0.034202026759731156,3,back,0.002977253258565743,33
3,0.034202026759731156,3,first,0.002937565597774443,34
3,0.034202026759731156,3,apple,0.002937565597774443,35
3,0.034202026759731156,3,works,0.002937565597774443,36
3,0.034202026759731156,3,two,0.002897877936983142,37
3,0.034202026759731156,3,samsung,0.002878034106587492,38
3,0.034202026759731156,3,really,0.0027589711242135906,39
3,0.034202026759731156,3,need,0.0027391272938179405,40
3,0.034202026759731156,3,may,0.0027391272938179405,41
3,0.034202026759731156,3,quality,0.00271928346342229,42
3,0.034202026759731156,3,since,0.00269943963302664,43
3,0.034202026759731156,3,amazon,0.0026795958026309898,44
3,0.034202026759731156,3,pen,0.0026597519722353397,45
3,0.034202026759731156,3,android,0.002620064311444039,46
3,0.034202026759731156,3,device,0.0025803766506527384,47
3,0.034202026759731156,3,charging,0.0025803766506527384,48
3,0.034202026759731156,3,little,0.0025605328202570883,49
3,0.034202026759731156,3,life,0.002540688989861438,50
3,0.034202026759731156,3,know,0.0025208451594657877,51
3,0.034202026759731156,3,end,0.002481157498674487,52
3,0.034202026759731156,3,bought,0.002481157498674487,53
3,0.034202026759731156,3,buy,0.002441469837883187,54
3,0.034202026759731156,3,make,0.002401782177091886,55
3,0.034202026759731156,3,see,0.002381938346696236,56
3,0.034202026759731156,3,update,0.0023620945163005855,57
3,0.034202026759731156,3,usb,0.0023422506859049354,58
3,0.034202026759731156,3,want,0.0022827191947179847,59
3,0.034202026759731156,3,without,0.0022827191947179847,60
3,0.034202026759731156,3,phones,0.002243031533926684,61
3,0.034202026759731156,3,plug,0.002223187703531034,62
3,0.034202026759731156,3,find,0.002143812381948433,63
3,0.034202026759731156,3,something,0.002143812381948433,64
3,0.034202026759731156,3,came,0.002123968551552783,65
3,0.034202026759731156,3,less,0.002123968551552783,66
3,0.034202026759731156,3,another,0.0021041247211571325,67
3,0.034202026759731156,3,months,0.0020842808907614824,68
3,0.034202026759731156,3,long,0.0020247493995745316,69
3,0.034202026759731156,3,review,0.0020247493995745316,70
3,0.034202026759731156,3,dock,0.0020247493995745316,71
3,0.034202026759731156,3,never,0.0020049055691788815,72
3,0.034202026759731156,3,last,0.0020049055691788815,73
3,0.034202026759731156,3,ipad,0.001985061738783231,74
3,0.034202026759731156,3,many,0.001985061738783231,75
3,0.034202026759731156,3,reviews,0.001985061738783231,76
3,0.034202026759731156,3,touch,0.001985061738783231,77
3,0.034202026759731156,3,original,0.001985061738783231,78
3,0.034202026759731156,3,purchased,0.001965217908387581,79
3,0.034202026759731156,3,far,0.001965217908387581,80
3,0.034202026759731156,3,way,0.001965217908387581,81
3,0.034202026759731156,3,problem,0.001965217908387581,82
3,0.034202026759731156,3,cord,0.001965217908387581,83
3,0.034202026759731156,3,thing,0.0019255302475962805,84
3,0.034202026759731156,3,sure,0.0019255302475962805,85
3,0.034202026759731156,3,getting,0.0019255302475962805,86
3,0.034202026759731156,3,seems,0.0019255302475962805,87
3,0.034202026759731156,3,best,0.0018659987564093297,88
3,0.034202026759731156,3,adapter,0.0018659987564093297,89
3,0.034202026759731156,3,actually,0.0018461549260136796,90
3,0.034202026759731156,3,every,0.0018263110956180293,91
3,0.034202026759731156,3,though,0.0018263110956180293,92
3,0.034202026759731156,3,found,0.0017866234348267289,93
3,0.034202026759731156,3,item,0.0017866234348267289,94
3,0.034202026759731156,3,longer,0.0017866234348267289,95
3,0.034202026759731156,3,cables,0.0017866234348267289,96
3,0.034202026759731156,3,stars,0.0017469357740354284,97
3,0.034202026759731156,3,different,0.0017469357740354284,98
3,0.034202026759731156,3,however,0.0017270919436397781,99
3,0.034202026759731156,3,days,0.0017270919436397781,100
3,0.034202026759731156,4,case,0.04283592912741454,1
3,0.034202026759731156,4,phone,0.0208100590762076,2
3,0.034202026759731156,4,like,0.01010726192266696,3
3,0.034202026759731156,4,screen,0.00942617483107801,4
3,0.034202026759731156,4,one,0.00942617483107801,5
3,0.034202026759731156,4,iphone,0.00810048745637809,6
3,0.034202026759731156,4,would,0.006045063912118578,7
3,0.034202026759731156,4,cases,0.005789656252772722,8
3,0.034202026759731156,4,headset,0.005765331713787403,9
3,0.034202026759731156,4,protection,0.005619384479875485,10
3,0.034202026759731156,4,also,0.005509924054441546,11
3,0.034202026759731156,4,back,0.0054491127069782475,12
3,0.034202026759731156,4,good,0.0053518145510369685,13
3,0.034202026759731156,4,well,0.004950459657779195,14
3,0.034202026759731156,4,plastic,0.004853161501837916,15
3,0.034202026759731156,4,use,0.004768025615389297,16
3,0.034202026759731156,4,cover,0.004500455686550781,17
3,0.034202026759731156,4,much,0.004403157530609502,18
3,0.034202026759731156,4,fit,0.0043909952611168425,19
3,0.034202026759731156,4,get,0.004232885757712265,20
3,0.034202026759731156,4,protector,0.004220723488219605,21
3,0.034202026759731156,4,buttons,0.004159912140756306,22
3,0.034202026759731156,4,hard,0.004111263062785667,23
3,0.034202026759731156,4,otterbox,0.004086938523800347,24
3,0.034202026759731156,4,feel,0.004013964906844388,25
3,0.034202026759731156,4,little,0.004001802637351728,26
3,0.034202026759731156,4,button,0.003977478098366408,27
3,0.034202026759731156,4,around,0.003807206325469171,28
3,0.034202026759731156,4,really,0.003795044055976511,29
3,0.034202026759731156,4,great,0.003673421361049913,30
3,0.034202026759731156,4,volume,0.0036490968220645936,31
3,0.034202026759731156,4,nice,0.003418013701704057,32
3,0.034202026759731156,4,easy,0.0033693646237334175,33
3,0.034202026759731156,4,looks,0.0030409833474316027,34
3,0.034202026759731156,4,rubber,0.0030409833474316027,35
3,0.034202026759731156,4,bit,0.0029801719999683037,36
3,0.034202026759731156,4,still,0.002870711574534365,37
3,0.034202026759731156,4,fits,0.002797737957578406,38
3,0.034202026759731156,4,black,0.002797737957578406,39
